year,month,state,crime_rate
1990,10,AK,2129.0
1990,10,AL,7598.0
1990,10,AR,9948.0
1990,10,AZ,24235.0
1990,10,CA,167954.0
1990,10,CO,16849.0
1990,10,CT,15747.0
1990,10,DC,5752.0
1990,10,DE,3191.0
1990,10,FL,96389.0
1990,10,GA,32607.0
1990,10,HI,5400.0
1990,10,IA,9993.0
1990,10,ID,3497.0
1990,10,IL,60142.0
1990,10,IN,17637.0
1990,10,KS,11190.0
1990,10,KY,3915.0
1990,10,LA,20588.0
1990,10,MA,20065.0
1990,10,MD,25672.0
1990,10,ME,4208.0
1990,10,MI,50085.0
1990,10,MN,13978.0
1990,10,MO,21725.0
1990,10,MS,5594.0
1990,10,MT,2719.0
1990,10,NC,30445.0
1990,10,ND,1476.0
1990,10,NE,5912.0
1990,10,NH,3413.0
1990,10,NJ,37252.0
1990,10,NM,6538.0
1990,10,NV,6133.0
1990,10,NY,101027.0
1990,10,OH,43378.0
1990,10,OK,15333.0
1990,10,OR,13774.0
1990,10,PA,34829.0
1990,10,RI,4765.0
1990,10,SC,18358.0
1990,10,SD,1689.0
1990,10,TN,19061.0
1990,10,TX,114379.0
1990,10,UT,8254.0
1990,10,VA,24827.0
1990,10,VT,1726.0
1990,10,WA,25692.0
1990,10,WI,20158.0
1990,10,WV,3960.0
1990,10,WY,1577.0
1990,11,AK,1502.0
1990,11,AL,7127.0
1990,11,AR,9297.0
1990,11,AZ,22602.0
1990,11,CA,157481.0
1990,11,CO,15685.0
1990,11,CT,14031.0
1990,11,DC,5496.0
1990,11,DE,3068.0
1990,11,FL,80950.0
1990,11,GA,31879.0
1990,11,HI,5202.0
1990,11,IA,9593.0
1990,11,ID,3464.0
1990,11,IL,57162.0
1990,11,IN,16640.0
1990,11,KS,11170.0
1990,11,KY,3356.0
1990,11,LA,18875.0
1990,11,MA,18443.0
1990,11,MD,23662.0
1990,11,ME,3725.0
1990,11,MI,46190.0
1990,11,MN,12646.0
1990,11,MO,21025.0
1990,11,MS,5060.0
1990,11,MT,2103.0
1990,11,NC,29688.0
1990,11,ND,1318.0
1990,11,NE,5388.0
1990,11,NH,3267.0
1990,11,NJ,34493.0
1990,11,NM,5975.0
1990,11,NV,5913.0
1990,11,NY,92964.0
1990,11,OH,42190.0
1990,11,OK,13875.0
1990,11,OR,13550.0
1990,11,PA,33847.0
1990,11,RI,4517.0
1990,11,SC,17547.0
1990,11,SD,1565.0
1990,11,TN,18336.0
1990,11,TX,109097.0
1990,11,UT,7937.0
1990,11,VA,23657.0
1990,11,VT,1917.0
1990,11,WA,25294.0
1990,11,WI,18837.0
1990,11,WV,3899.0
1990,11,WY,1488.0
1990,12,AK,7128.0
1990,12,AL,113444.0
1990,12,AR,9357.0
1990,12,AZ,22876.0
1990,12,CA,163820.0
1990,12,CO,15599.0
1990,12,CT,14137.0
1990,12,DC,5584.0
1990,12,DE,2967.0
1990,12,FL,74570.0
1990,12,GA,30179.0
1990,12,HI,5557.0
1990,12,IA,8167.0
1990,12,ID,2901.0
1990,12,IL,55476.0
1990,12,IN,17578.0
1990,12,KS,10556.0
1990,12,KY,39722.0
1990,12,LA,19798.0
1990,12,MA,18787.0
1990,12,MD,24402.0
1990,12,ME,3822.0
1990,12,MI,46256.0
1990,12,MN,11965.0
1990,12,MO,20795.0
1990,12,MS,8289.0
1990,12,MT,2159.0
1990,12,NC,31485.0
1990,12,ND,1213.0
1990,12,NE,5583.0
1990,12,NH,3063.0
1990,12,NJ,35175.0
1990,12,NM,6265.0
1990,12,NV,6060.0
1990,12,NY,93217.0
1990,12,OH,41812.0
1990,12,OK,13846.0
1990,12,OR,12944.0
1990,12,PA,35025.0
1990,12,RI,4598.0
1990,12,SC,18508.0
1990,12,SD,1409.0
1990,12,TN,18970.0
1990,12,TX,109735.0
1990,12,UT,7203.0
1990,12,VA,24165.0
1990,12,VT,1939.0
1990,12,WA,24138.0
1990,12,WI,16636.0
1990,12,WV,3886.0
1990,12,WY,1359.0
1991,1,AK,1733.0
1991,1,AL,1135.0
1991,1,AR,9683.0
1991,1,AZ,22760.0
1991,1,CA,174418.0
1991,1,CO,16058.0
1991,1,CT,12903.0
1991,1,DC,5744.0
1991,1,DE,3098.0
1991,1,FL,95804.0
1991,1,GA,32649.0
1991,1,HI,5219.0
1991,1,IA,
1991,1,ID,2862.0
1991,1,IL,51651.0
1991,1,IN,16654.0
1991,1,KS,9290.0
1991,1,KY,
1991,1,LA,18846.0
1991,1,MA,18570.0
1991,1,MD,24193.0
1991,1,ME,3172.0
1991,1,MI,41427.0
1991,1,MN,9456.0
1991,1,MO,18991.0
1991,1,MS,6018.0
1991,1,MT,1667.0
1991,1,NC,31538.0
1991,1,ND,449.0
1991,1,NE,4496.0
1991,1,NH,2676.0
1991,1,NJ,32588.0
1991,1,NM,6722.0
1991,1,NV,6309.0
1991,1,NY,87498.0
1991,1,OH,38997.0
1991,1,OK,13185.0
1991,1,OR,13793.0
1991,1,PA,32053.0
1991,1,RI,4073.0
1991,1,SC,
1991,1,SD,1280.0
1991,1,TN,19459.0
1991,1,TX,110458.0
1991,1,UT,7500.0
1991,1,VA,23124.0
1991,1,VT,1413.0
1991,1,WA,25678.0
1991,1,WI,14497.0
1991,1,WV,3942.0
1991,1,WY,1493.0
1991,2,AK,1768.0
1991,2,AL,950.0
1991,2,AR,8640.0
1991,2,AZ,22411.0
1991,2,CA,158479.0
1991,2,CO,15713.0
1991,2,CT,12889.0
1991,2,DC,4883.0
1991,2,DE,2939.0
1991,2,FL,84831.0
1991,2,GA,30928.0
1991,2,HI,5178.0
1991,2,IA,
1991,2,ID,3310.0
1991,2,IL,52414.0
1991,2,IN,15429.0
1991,2,KS,9920.0
