year,month,state,EHE
1990,1,AL,1635.5
1990,2,AL,1633.5
1990,3,AL,1632.0
1990,4,AL,1643.7
1990,5,AL,1648.9
1990,6,AL,1650.5
1990,7,AL,1652.1
1990,8,AL,1649.8
1990,9,AL,1651.3
1990,10,AL,1647.1
1990,11,AL,1648.3
1990,12,AL,1648.0
1991,1,AL,1646.0
1991,2,AL,1641.6
1991,3,AL,1644.3
1991,4,AL,1644.5
1991,5,AL,1646.6
1991,6,AL,1648.0
1991,7,AL,1654.3
1991,8,AL,1655.3
1991,9,AL,1656.7
1991,10,AL,1658.9
1991,11,AL,1658.1
1991,12,AL,1659.2
1992,1,AL,1666.5
1992,2,AL,1668.1
1992,3,AL,1670.7
1992,4,AL,1671.4
1992,5,AL,1679.8
1992,6,AL,1679.0
1992,7,AL,1683.4
1992,8,AL,1696.7
1992,9,AL,1686.8
1992,10,AL,1697.5
1992,11,AL,1699.7
1992,12,AL,1703.3
1993,1,AL,1705.9
1993,2,AL,1713.6
1993,3,AL,1712.9
1993,4,AL,1721.2
1993,5,AL,1722.8
1993,6,AL,1726.2
1993,7,AL,1727.2
1993,8,AL,1732.0
1993,9,AL,1729.7
1993,10,AL,1741.3
1993,11,AL,1742.1
1993,12,AL,1744.7
1994,1,AL,1744.2
1994,2,AL,1746.5
1994,3,AL,1752.3
1994,4,AL,1754.9
1994,5,AL,1757.6
1994,6,AL,1767.4
1994,7,AL,1768.6
1994,8,AL,1776.6
1994,9,AL,1785.4
1994,10,AL,1783.3
1994,11,AL,1803.6
1994,12,AL,1794.6
1995,1,AL,1804.1
1995,2,AL,1805.2
1995,3,AL,1808.5
1995,4,AL,1810.2
1995,5,AL,1811.5
1995,6,AL,1818.8
1995,7,AL,1813.2
1995,8,AL,1818.0
1995,9,AL,1819.8
1995,10,AL,1821.9
1995,11,AL,1826.5
1995,12,AL,1829.3
1996,1,AL,1829.1
1996,2,AL,1830.1
1996,3,AL,1833.1
1996,4,AL,1833.5
1996,5,AL,1835.8
1996,6,AL,1835.4
1996,7,AL,1839.6
1996,8,AL,1844.6
1996,9,AL,1846.1
1996,10,AL,1852.5
1996,11,AL,1857.6
1996,12,AL,1857.4
1997,1,AL,1864.9
1997,2,AL,1866.0
1997,3,AL,1872.6
1997,4,AL,1874.5
1997,5,AL,1876.9
1997,6,AL,1876.3
1997,7,AL,1880.1
1997,8,AL,1878.5
1997,9,AL,1883.6
1997,10,AL,1888.8
1997,11,AL,1892.0
1997,12,AL,1893.4
1998,1,AL,1896.6
1998,2,AL,1900.1
1998,3,AL,1902.7
1998,4,AL,1912.5
1998,5,AL,1915.5
1998,6,AL,1921.8
1998,7,AL,1905.6
1998,8,AL,1913.3
1998,9,AL,1916.1
1998,10,AL,1915.2
1998,11,AL,1917.5
1998,12,AL,1919.4
1999,1,AL,1921.8
1999,2,AL,1927.5
1999,3,AL,1930.2
1999,4,AL,1929.5
