year,state,GDP
1960,PR,1691.9
1961,PR,1865.1
1962,PR,2094.4
1963,PR,2333.6
1964,PR,2570.5
1965,PR,2881.5
1966,PR,3170.5
1967,PR,3532.7
1968,PR,3941.7
1969,PR,4460.7
1970,PR,5034.7
1971,PR,5646.8
1972,PR,6328.9
1973,PR,7002.4
1974,PR,7684.8
1975,PR,8198.3
1976,PR,8968.6
1977,PR,9910.9
1978,PR,11165.0
1979,PR,12750.0
1980,PR,14436.1
1981,PR,15955.7
1982,PR,16764.2
1983,PR,17276.6
1984,PR,19162.6
1985,PR,20289.2
1986,PR,22009.3
1987,PR,24025.8
1988,PR,26385.8
1989,AK,23833.74488328224
1989,AL,69157.49171544262
1989,AR,36825.651720542235
1989,AZ,67888.24672212677
1989,CA,714023.7578454363
1989,CO,71575.26546059409
1989,CT,94708.58963799354
1989,DC,38206.95749912733
1989,DE,18692.43228795438
1989,FL,241275.1808883034
1989,GA,133914.94628850356
1989,HI,29463.495575620767
1989,IA,52298.68191758583
1989,ID,17029.700752823086
1989,IL,263078.7620869268
1989,IN,106097.58131430986
1989,KS,48470.616250731655
1989,KY,65554.440027282
1989,LA,86416.88189215305
1989,MA,157672.90229570115
1989,MD,106113.18348514556
1989,ME,22562.4060546875
1989,MI,188756.08322969062
1989,MN,98395.48301487144
1989,MO,101148.49475435099
1989,MS,37261.615484400936
1989,MT,12711.464751277506
1989,NC,135134.49225545465
1989,ND,10747.778641638659
1989,NE,30883.11747851003
1989,NH,23605.1740234375
1989,NJ,204403.44010222296
1989,NM,24932.500974050683
1989,NV,27941.13410044628
1989,NY,476467.4856937992
1989,OH,217851.05570634134
1989,OK,54579.347505474565
1989,OR,52937.90556602837
1989,PA,234391.63207423023
1989,PR,28161.2
1989,RI,20929.793040971796
1989,SC,60883.317737993406
1989,SD,11730.493084190197
1989,TN,91382.44105866812
1989,TX,347801.26543627004
1989,UT,29026.99644464683
1989,VA,135625.66311398937
1989,VT,11049.453609574057
1989,WA,107953.4111193599
1989,WI,94102.48156907174
1989,WV,26737.59821063791
1989,WY,11401.25694680345
1990,AK,25446.50884225418
1990,AL,72409.39236984013
1990,AR,38365.01315854809
1990,AZ,70624.97448232208
1990,CA,763879.4705560345
1990,CO,75991.71646303765
1990,CT,98995.7812758729
1990,DC,40469.66103246326
1990,DE,19709.14236160608
1990,FL,256209.03348859173
1990,GA,140773.1403178982
1990,HI,32574.34889921657
1990,IA,55475.727746741155
1990,ID,18132.517141985147
1990,IL,275325.4707988216
1990,IN,109720.9662823757
1990,KS,51509.0905762784
1990,KY,68442.73714073127
1990,LA,93919.4232060823
1990,MA,158973.55423941725
1990,MD,111437.40979995532
1990,ME,23145.62484375
1990,MI,191208.7854747146
1990,MN,102843.21145890314
1990,MO,103296.89787923633
1990,MS,38812.84754162887
1990,MT,13327.41221190948
1990,NC,140981.3762972845
1990,ND,11529.143851861247
1990,NE,33250.704871060174
1990,NH,23596.2390625
1990,NJ,213655.04430082752
1990,NM,26605.870177307665
1990,NV,31084.724905082265
1990,NY,496542.966969598
1990,OH,227448.55604175158
1990,OK,57355.594425326904
1990,OR,56918.56236928266
1990,PA,246574.54433741033
1990,PR,30603.919
1990,RI,21531.081078855263
1990,SC,64664.5204142735
1990,SD,12705.546792630095
1990,TN,93885.05805792712
1990,TX,376614.0925847444
1990,UT,31640.31714450847
1990,VA,142827.58375500797
1990,VT,11599.938978252478
1990,WA,118518.58801451785
1990,WI,99063.77439251254
1990,WV,27831.650629638247
1990,WY,12665.294177593587
1991,AK,22644.75066022164
1991,AL,76891.87856416358
1991,AR,41233.46243606932
1991,AZ,73350.70333664888
1991,CA,780260.0266269915
1991,CO,80210.07073335884
1991,CT,100286.48489022754
1991,DC,42245.969980219525
1991,DE,21507.176324542645
1991,FL,267272.62581349106
1991,GA,147893.57118846348
1991,HI,34399.60979683973
1991,IA,57277.767120278855
1991,ID,18986.570382176404
1991,IL,284654.32295918366
1991,IN,113459.15940567113
1991,KS,53601.26881285585
1991,KY,71711.20498612052
1991,LA,94773.98071994034
1991,MA,160192.47939433283
1991,MD,113998.2925367948
1991,ME,23268.04107421875
1991,MI,195777.52514307984
1991,MN,106191.01785973259
1991,MO,108878.35743673789
1991,MS,40920.880776273676
1991,MT,13964.495124621964
1991,NC,147753.94968068166
1991,ND,11711.462400913184
1991,NE,35102.785100286535
1991,NH,24584.0486328125
1991,NJ,221188.29408891776
1991,NM,30301.68560231337
1991,NV,32896.82991407447
1991,NY,500715.1231585103
1991,OH,234011.58201100564
1991,OK,59168.390394794464
1991,OR,59811.481557694206
1991,PA,256508.6592796288
1991,PR,32287.031
1991,RI,21604.627053736876
1991,SC,67486.03201759746
1991,SD,13666.671162377994
1991,TN,100990.77402751376
1991,TX,391155.1734032511
1991,UT,33920.51792563532
1991,VA,148859.0691400033
1991,VT,11658.56467636083
1991,WA,125766.16350377382
1991,WI,103548.70404047557
1991,WV,29173.394109585497
1991,WY,12936.444119845099
1992,AK,23122.38081820325
1992,AL,82167.11665931028
1992,AR,44651.40026813645
1992,AZ,82673.77591102269
1992,CA,797357.590035915
1992,CO,87788.02491241499
1992,CT,104520.30899734491
1992,DC,44037.574355195284
1992,DE,22655.425736516983
1992,FL,284251.4456593926
1992,GA,160206.69187579752
1992,HI,36173.80744389855
1992,IA,61158.62646230244
1992,ID,20779.276475974093
1992,IL,302182.184279737
1992,IN,123432.62302850625
1992,KS,56501.72093864737
1992,KY,77565.8342579962
1992,LA,89689.06747639472
1992,MA,166877.13271732442
1992,MD,118054.4226564245
1992,ME,24213.53228515625
1992,MI,209976.8590928756
1992,MN,114614.07874743978
1992,MO,114988.43986155107
1992,MS,44075.41982099156
1992,MT,15033.345129836272
1992,NC,160846.85127296983
1992,ND,12918.571475680134
1992,NE,37666.52148997135
1992,NH,26141.71015625
1992,NJ,230018.2834872627
1992,NM,32645.202663419834
1992,NV,36173.87031239593
1992,NY,523235.10135194403
1992,OH,250689.1891486636
1992,OK,61725.355481449034
1992,OR,63787.10719714256
1992,PA,271272.10919274564
1992,PR,34630.43
1992,RI,22525.93946880791
1992,SC,71304.94747647563
1992,SD,14810.866840649303
1992,TN,111420.34056509551
