year,month,HPI
1991,1,100.0
1991,2,100.4
1991,3,100.46
1991,4,100.3
1991,5,100.35
1991,6,100.48
1991,7,100.5
1991,8,100.33
1991,9,100.59
1991,10,100.87
1991,11,101.35
1991,12,101.83
1992,1,102.2
1992,2,102.94
1992,3,102.78
1992,4,102.51
1992,5,102.54
1992,6,102.47
1992,7,102.83
1992,8,103.26
1992,9,103.66
1992,10,103.97
1992,11,104.24
1992,12,104.15
1993,1,104.22
1993,2,104.01
1993,3,104.32
1993,4,104.97
1993,5,105.2
1993,6,105.56
1993,7,105.62
1993,8,106.02
1993,9,106.4
1993,10,106.61
1993,11,106.95
1993,12,107.47
1994,1,107.74
1994,2,107.93
1994,3,108.31
1994,4,108.6
1994,5,108.99
1994,6,109.17
1994,7,109.3
1994,8,109.59
1994,9,109.64
1994,10,109.9
1994,11,110.11
1994,12,110.13
1995,1,110.44
1995,2,111.04
1995,3,110.87
1995,4,111.16
1995,5,111.3
1995,6,111.67
1995,7,112.18
1995,8,112.48
1995,9,112.7
1995,10,112.78
1995,11,113.0
1995,12,113.48
1996,1,113.89
1996,2,114.05
1996,3,114.47
1996,4,114.71
1996,5,114.96
1996,6,115.08
1996,7,115.47
1996,8,115.49
1996,9,115.77
1996,10,115.88
1996,11,116.19
1996,12,116.59
1997,1,116.72
1997,2,117.0
1997,3,117.44
1997,4,117.67
1997,5,118.13
1997,6,118.18
1997,7,118.48
1997,8,118.96
1997,9,119.11
1997,10,119.7
1997,11,120.06
1997,12,120.48
1998,1,120.93
1998,2,121.8
1998,3,122.18
1998,4,122.72
1998,5,123.23
1998,6,123.99
1998,7,124.35
1998,8,124.86
1998,9,125.66
1998,10,126.19
1998,11,127.02
1998,12,127.59
1999,1,128.29
1999,2,128.85
1999,3,129.4
1999,4,130.02
1999,5,130.79
1999,6,131.37
1999,7,132.12
1999,8,132.94
1999,9,133.33
1999,10,134.1
1999,11,134.65
1999,12,135.32
2000,1,136.9
2000,2,136.76
2000,3,137.78
2000,4,138.74
2000,5,139.29
2000,6,140.23
2000,7,140.98
2000,8,141.54
2000,9,142.38
2000,10,143.18
2000,11,144.06
2000,12,144.94
2001,1,145.86
2001,2,146.84
2001,3,147.62
2001,4,148.48
2001,5,149.11
2001,6,149.83
2001,7,150.67
2001,8,151.4
2001,9,152.22
2001,10,153.11
2001,11,153.63
2001,12,154.59
2002,1,155.44
2002,2,156.38
2002,3,157.34
2002,4,158.19
2002,5,159.26
2002,6,160.24
2002,7,161.28
2002,8,162.29
2002,9,163.28
2002,10,164.47
