year,month,PPI
1913,1,12.1
1913,2,12.0
1913,3,12.0
1913,4,12.0
1913,5,11.9
1913,6,11.9
1913,7,12.0
1913,8,12.0
1913,9,12.2
1913,10,12.2
1913,11,12.1
1913,12,11.9
1913,13,12.0
1914,1,11.8
1914,2,11.8
1914,3,11.7
1914,4,11.7
1914,5,11.6
1914,6,11.6
1914,7,11.6
1914,8,12.0
1914,9,12.1
1914,10,11.7
1914,11,11.7
1914,12,11.6
1914,13,11.8
1915,1,11.8
1915,2,11.8
1915,3,11.8
1915,4,11.8
1915,5,11.9
1915,6,11.8
1915,7,11.9
1915,8,11.8
1915,9,11.8
1915,10,12.1
1915,11,12.3
1915,12,12.8
1915,13,12.0
1916,1,13.3
1916,2,13.5
1916,3,13.9
1916,4,14.1
1916,5,14.2
1916,6,14.3
1916,7,14.4
1916,8,14.7
1916,9,15.0
1916,10,15.7
1916,11,16.8
1916,12,17.1
1916,13,14.7
1917,1,17.6
1917,2,18.0
1917,3,18.5
1917,4,19.7
1917,5,20.8
1917,6,21.0
1917,7,21.2
1917,8,21.5
1917,9,21.3
1917,10,21.1
1917,11,21.2
1917,12,21.2
1917,13,20.2
1918,1,21.6
1918,2,21.1
1918,3,21.8
1918,4,22.1
1918,5,22.1
1918,6,22.2
1918,7,22.7
1918,8,23.2
1918,9,23.7
1918,10,23.5
1918,11,23.5
1918,12,23.5
1918,13,22.6
1919,1,23.2
1919,2,22.4
1919,3,22.6
1919,4,22.9
1919,5,23.3
1919,6,23.4
1919,7,24.3
1919,8,24.9
1919,9,24.3
1919,10,24.4
1919,11,24.9
1919,12,26.0
1919,13,23.9
1920,1,27.2
1920,2,27.1
1920,3,27.3
1920,4,28.5
1920,5,28.8
1920,6,28.7
1920,7,28.6
1920,8,27.8
1920,9,26.8
1920,10,24.9
1920,11,23.0
1920,12,20.8
1920,13,26.6
1921,1,19.6
1921,2,18.1
1921,3,17.7
1921,4,17.0
1921,5,16.6
1921,6,16.1
1921,7,16.1
1921,8,16.1
1921,9,16.1
1921,10,16.2
1921,11,16.2
1921,12,16.0
1921,13,16.8
1922,1,15.7
1922,2,16.0
1922,3,16.0
1922,4,16.1
1922,5,16.6
1922,6,16.6
1922,7,17.1
1922,8,17.0
1922,9,17.1
1922,10,17.2
1922,11,17.3
1922,12,17.3
1922,13,16.7
1923,1,17.6
1923,2,17.8
1923,3,18.0
1923,4,17.9
1923,5,17.5
1923,6,17.3
1923,7,17.0
1923,8,16.9
1923,9,17.2
1923,10,17.1
1923,11,17.0
1923,12,16.9
1923,13,17.3
1924,1,17.2
1924,2,17.2
1924,3,17.0
1924,4,16.7
1924,5,16.5
1924,6,16.4
1924,7,16.5
1924,8,16.7
1924,9,16.7
1924,10,16.9
1924,11,17.1
1924,12,17.5
1924,13,16.9
1925,1,17.7
1925,2,17.9
1925,3,17.9
1925,4,17.5
1925,5,17.5
1925,6,17.7
1925,7,18.0
1925,8,17.9
1925,9,17.8
1925,10,17.8
1925,11,18.0
1925,12,17.8
1925,13,17.8
1926,1,17.8
1926,2,17.6
1926,3,17.3
1926,4,17.3
1926,5,17.3
1926,6,17.3
1926,7,17.1
1926,8,17.1
1926,9,17.2
1926,10,17.1
1926,11,17.0
1926,12,16.9
1926,13,17.2
1927,1,16.4
1927,2,16.6
1927,3,16.5
1927,4,16.3
1927,5,16.2
1927,6,16.2
1927,7,16.2
1927,8,16.4
1927,9,16.6
1927,10,16.7
1927,11,16.6
1927,12,16.6
1927,13,16.5
1928,1,16.6
1928,2,16.5
1928,3,16.5
1928,4,16.7
1928,5,16.8
1928,6,16.7
1928,7,16.8
1928,8,16.8
1928,9,17.0
1928,10,16.7
1928,11,16.5
1928,12,16.5
1928,13,16.7
1929,1,16.5
1929,2,16.4
1929,3,16.6
1929,4,16.5
1929,5,16.3
1929,6,16.4
1929,7,16.6
1929,8,16.6
1929,9,16.6
1929,10,16.4
1929,11,16.1
1929,12,16.1
1929,13,16.4
1930,1,15.9
1930,2,15.7
1930,3,15.5
1930,4,15.5
1930,5,15.3
1930,6,15.0
1930,7,14.5
1930,8,14.5
1930,9,14.5
1930,10,14.3
1930,11,14.0
1930,12,13.7
1930,13,14.9
1931,1,13.5
1931,2,13.2
1931,3,13.1
1931,4,12.9
1931,5,12.6
1931,6,12.4
1931,7,12.4
1931,8,12.4
1931,9,12.3
1931,10,12.1
1931,11,12.1
1931,12,11.8
1931,13,12.6
1932,1,11.6
1932,2,11.4
1932,3,11.4
1932,4,11.3
1932,5,11.1
1932,6,11.0
1932,7,11.1
1932,8,11.2
1932,9,11.3
1932,10,11.1
1932,11,11.0
1932,12,10.8
1932,13,11.2
1933,1,10.5
1933,2,10.3
1933,3,10.4
1933,4,10.4
1933,5,10.8
1933,6,11.2
1933,7,11.9
1933,8,12.0
1933,9,12.2
1933,10,12.3
1933,11,12.3
