year,month,state,unemp
1976,1,AL,6.7
1976,2,AL,6.6
1976,3,AL,6.6
1976,4,AL,6.5
1976,5,AL,6.4
1976,6,AL,6.5
1976,7,AL,6.5
1976,8,AL,6.7
1976,9,AL,6.8
1976,10,AL,6.9
1976,11,AL,7.0
1976,12,AL,7.1
1977,1,AL,7.2
1977,2,AL,7.3
1977,3,AL,7.4
1977,4,AL,7.5
1977,5,AL,7.5
1977,6,AL,7.4
1977,7,AL,7.3
1977,8,AL,7.1
1977,9,AL,6.9
1977,10,AL,6.8
1977,11,AL,6.6
1977,12,AL,6.5
1978,1,AL,6.4
1978,2,AL,6.4
1978,3,AL,6.3
1978,4,AL,6.3
1978,5,AL,6.2
1978,6,AL,6.3
1978,7,AL,6.3
1978,8,AL,6.4
1978,9,AL,6.6
1978,10,AL,6.7
1978,11,AL,6.7
1978,12,AL,6.8
1979,1,AL,6.9
1979,2,AL,6.9
1979,3,AL,7.0
1979,4,AL,7.1
1979,5,AL,7.1
1979,6,AL,7.2
1979,7,AL,7.3
1979,8,AL,7.4
1979,9,AL,7.4
1979,10,AL,7.5
1979,11,AL,7.5
1979,12,AL,7.5
1980,1,AL,7.6
1980,2,AL,7.8
1980,3,AL,8.0
1980,4,AL,8.3
1980,5,AL,8.5
1980,6,AL,8.7
1980,7,AL,8.9
1980,8,AL,9.0
1980,9,AL,9.1
1980,10,AL,9.3
1980,11,AL,9.4
1980,12,AL,9.6
1981,1,AL,9.7
1981,2,AL,9.9
1981,3,AL,10.0
1981,4,AL,10.1
1981,5,AL,10.2
1981,6,AL,10.4
1981,7,AL,10.6
1981,8,AL,10.9
1981,9,AL,11.3
1981,10,AL,11.7
1981,11,AL,12.0
1981,12,AL,12.3
1982,1,AL,12.6
1982,2,AL,12.9
1982,3,AL,13.1
1982,4,AL,13.3
1982,5,AL,13.6
1982,6,AL,13.8
1982,7,AL,14.0
1982,8,AL,14.2
1982,9,AL,14.3
1982,10,AL,14.5
1982,11,AL,14.6
1982,12,AL,14.7
1983,1,AL,14.7
1983,2,AL,14.6
1983,3,AL,14.5
1983,4,AL,14.4
1983,5,AL,14.2
1983,6,AL,14.1
1983,7,AL,13.9
1983,8,AL,13.7
1983,9,AL,13.5
1983,10,AL,13.2
1983,11,AL,12.9
1983,12,AL,12.7
1984,1,AL,12.5
1984,2,AL,12.2
1984,3,AL,12.0
1984,4,AL,11.8
1984,5,AL,11.6
1984,6,AL,11.5
1984,7,AL,11.3
1984,8,AL,11.1
1984,9,AL,11.0
1984,10,AL,10.8
1984,11,AL,10.5
1984,12,AL,10.3
1985,1,AL,10.1
1985,2,AL,10.0
1985,3,AL,9.9
1985,4,AL,9.8
1985,5,AL,9.7
1985,6,AL,9.5
1985,7,AL,9.5
1985,8,AL,9.4
1985,9,AL,9.3
1985,10,AL,9.2
1985,11,AL,9.2
1985,12,AL,9.3
1986,1,AL,9.4
1986,2,AL,9.5
1986,3,AL,9.6
1986,4,AL,9.7
1986,5,AL,9.7
1986,6,AL,9.7
1986,7,AL,9.6
1986,8,AL,9.5
1986,9,AL,9.5
1986,10,AL,9.5
1986,11,AL,9.4
1986,12,AL,9.3
1987,1,AL,9.2
1987,2,AL,9.0
1987,3,AL,8.8
1987,4,AL,8.5
1987,5,AL,8.3
1987,6,AL,8.1
1987,7,AL,8.0
1987,8,AL,7.9
1987,9,AL,7.8
1987,10,AL,7.7
1987,11,AL,7.6
1987,12,AL,7.5
1988,1,AL,7.4
1988,2,AL,7.4
1988,3,AL,7.3
1988,4,AL,7.2
1988,5,AL,7.2
1988,6,AL,7.2
1988,7,AL,7.2
1988,8,AL,7.2
1988,9,AL,7.3
1988,10,AL,7.3
1988,11,AL,7.3
1988,12,AL,7.2
1989,1,AL,7.2
1989,2,AL,7.1
1989,3,AL,7.1
1989,4,AL,7.1
1989,5,AL,7.1
1989,6,AL,7.1
1989,7,AL,7.0
